Node name,index,Node name,index,Node name,index
Mocoa,1,Aguazul,33,Pamplona,65
Pasto,2,Mariquita,34,San Alberto,66
Florencia,3,Honda,35,Cucuta,67
Altamira,4,Yopal,36,Caucasia,68
Popayan,5,La Felisa,37,Turbo,69
Neiva,6,La Dorada,38,Agua Clara Cesar,70
Caloto,7,Tunja,39,Ocana,71
Jamundi,8,Narino,40,Planeta Rica,72
Cali,9,Chiquinquira,41,Monteria,73
Palmira,10,Quibdo,42,Ye,74
Granada,11,Sonson,43,El Burro,75
Loboguerrero,12,Duitama,44,El Banco,76
Buenaventura,13,Barbosa Boy,45,Lorica,77
Buga,14,Puerto Boyaca,46,San Roque,78
Tulua,15,Belen Boy,47,Sincelejo,79
Espinal,16,Bolombolo,48,Sta Ana,80
Villavicencio,17,Hato Corozal,49,Puerta Hierro,81
Ricaurte,18,Rionegro,50,Carmen de Bolivar,82
Girardot,19,Itagui,51,Cuatrovientos,83
La Paila,20,Medellin,52,La Gloria,84
Fusa,21,Soata,53,Bosconia,85
Zarzal,22,Barbosa Ant,54,Agustin C,86
Ibague,23,Tame,55,La Paz,87
Armenia,24,Puerto Araujo,56,Cartagena,88
Bogota,25,Sta Fe A,57,Carreto,89
Madrid,26,Pinchote,58,Valledupar,90
Cartago,27,San Gil,59,S Juan Cesar,91
Agua Clara Casa,28,Malaga,60,Buenavista,92
Pereira,29,Barrancabermeja,61,Barranquilla,93
Villeta,30,Arauca,62,Santa Marta,94
Zipaquira,31,La Fortuna,63,Maicao,95
Manizales,32,Bucaramanga,64,Riohacha,96
